"","Neighborhood","GrLivArea","SalePrice","logGrLivArea","logSalePrice"
"1","BrkSide",1077,118000,6.98193467715639,11.6784399034478
"2","NAmes",1253,157000,7.13329595489607,11.9640010843304
"3","BrkSide",854,132000,6.74993119378857,11.7905572015685
"4","NAmes",1004,149000,6.91174730025167,11.9117015849276
"5","NAmes",1339,139000,7.19967834569117,11.8422292121128
"6","NAmes",900,134800,6.80239476332431,11.8115474774603
"7","NAmes",1600,207500,7.37775890822787,12.2428866186529
"8","BrkSide",520,68500,6.25382881157547,11.1345890242503
"9","NAmes",1700,165500,7.43838353004431,12.0167264737993
"10","NAmes",1297,153000,7.16780918431644,11.9381932003746
"11","NAmes",1057,109000,6.96318998587024,11.5991031612113
"12","Edwards",1152,82000,7.04925484125584,11.3144745262464
"13","NAmes",1324,160000,7.18841273649695,11.982929094216
"14","NAmes",1150,141000,7.0475172213573,11.8565151693603
"15","BrkSide",1176,114500,7.06987412845857,11.6483301019764
"16","NAmes",1360,130000,7.2152399787301,11.7752897294377
"17","NAmes",1425,180500,7.26192709270275,12.1034860567551
"18","NAmes",2207,180000,7.69938940625674,12.1007121298723
"19","NAmes",2223,244000,7.7066129139642,12.4049235042753
"20","NAmes",1086,144900,6.99025650049388,11.8837991283088
"21","NAmes",952,135750,6.85856503479136,11.8185702377962
"22","BrkSide",1285,127000,7.15851399732932,11.7519423654407
"23","NAmes",2142,193500,7.66949525100769,12.173032791452
"24","NAmes",1065,126500,6.97073007814353,11.7479975871497
"25","NAmes",1040,109900,6.94697599213542,11.6073261403917
"26","NAmes",1235,98600,7.11882624906208,11.4988265405907
"27","Edwards",960,94750,6.86693328446188,11.4589971229447
"28","Edwards",835,83000,6.72743172485086,11.3265958867787
"29","NAmes",1225,128950,7.11069612297883,11.7671800113095
"30","Edwards",1855,136900,7.52563997504154,11.8270060112765
"31","Edwards",1125,155000,7.02553831463852,11.9511803959014
"32","NAmes",1080,136000,6.98471632011827,11.8204101647182
"33","NAmes",1348,155000,7.20637729147225,11.9511803959014
"34","NAmes",1053,150000,6.95939851213398,11.9183905730784
"35","NAmes",2157,226000,7.67647364638916,12.3282902782544
"36","NAmes",1327,150750,7.19067603433221,11.9233781145894
"37","NAmes",1214,143000,7.10167597161944,11.870599909242
"38","NAmes",864,115000,6.76157276880406,11.6526874073454
"39","NAmes",1385,166000,7.23345541862144,12.0197430673387
"40","Edwards",1709,130000,7.44366368311559,11.7752897294377
"41","BrkSide",875,105000,6.77422388635761,11.5617156291397
"42","BrkSide",1344,115000,7.20340552108309,11.6526874073454
"43","Edwards",1096,79000,6.99942246750796,11.2772031314492
"44","NAmes",1040,109500,6.94697599213542,11.6036798282387
"45","Edwards",1355,127500,7.2115567333138,11.7558716435806
"46","NAmes",1656,215000,7.4121603349452,12.2783933071098
"47","NAmes",1362,163000,7.21670948670946,12.0015054797889
"48","Edwards",2158,243000,7.67693714581808,12.4008167223227
"49","Edwards",1340,120000,7.20042489294496,11.6952470217642
"50","BrkSide",1252,127000,7.13249755166004,11.7519423654407
"51","NAmes",1479,184000,7.2991214627108,12.1226910365911
"52","Edwards",1709,130000,7.44366368311559,11.7752897294377
"53","NAmes",3112,235000,8.04302088529828,12.3673407931263
"54","Edwards",1121,140000,7.02197642307216,11.8493977015914
"55","NAmes",1100,141000,7.00306545878646,11.8565151693603
"56","NAmes",1092,145000,6.99576615630485,11.8844890214027
"57","Edwards",864,98000,6.76157276880406,11.4927227576527
"58","Edwards",1212,186000,7.10002716662926,12.1335019526953
"59","NAmes",1236,134450,7.11963563801764,11.808947661697
"60","NAmes",864,97000,6.76157276880406,11.4824662574855
"61","NAmes",1194,148000,7.08506429395255,11.9049675527463
"62","Edwards",1487,113000,7.30451594646016,11.6351430976945
"63","NAmes",1375,140000,7.22620901010067,11.8493977015914
"64","BrkSide",1306,76500,7.17472430983638,11.2450460198146
"65","NAmes",1302,158000,7.17165682276851,11.9703503120091
"66","NAmes",1314,145000,7.18083119904456,11.8844890214027
"67","NAmes",1382,176000,7.23128700432762,12.0782392740203
"68","Edwards",1113,148000,7.01481435127554,11.9049675527463
"69","NAmes",1632,139000,7.39756153552405,11.8422292121128
"70","BrkSide",1548,205000,7.34471905414967,12.2307652581205
"71","NAmes",1734,159000,7.45818615734049,11.9766594812024
"72","NAmes",858,88000,6.75460409948796,11.3850920934603
"73","BrkSide",1396,153575,7.24136628332232,11.9419443260321
"74","Edwards",1716,131000,7.44775128004791,11.7829526021833
"75","NAmes",1644,167000,7.40488757561612,12.0257490913989
"76","Edwards",861,82500,6.75809450442773,11.3205535723228
"77","NAmes",972,132000,6.87935580446044,11.7905572015685
"78","NAmes",2978,242000,7.99900721324395,12.3966930051388
"79","NAmes",1383,145250,7.23201033166476,11.8862116747142
"80","BrkSide",2134,214500,7.6657534318617,12.2760650173502
"81","NAmes",1728,119000,7.454719949364,11.6868787720937
"82","NAmes",1056,139000,6.96224346426621,11.8422292121128
"83","NAmes",1215,155000,7.10249935577465,11.9511803959014
"84","NAmes",1040,87500,6.94697599213542,11.3793940723457
"85","BrkSide",1577,140200,7.36327958696304,11.8508252535826
"86","NAmes",958,151500,6.86484777797086,11.9283409039316
"87","NAmes",1478,157500,7.29844510150815,11.9671807372478
"88","Edwards",1111,95000,7.01301578963963,11.4616321705827
"89","BrkSide",1505,145000,7.31654817718298,11.8844890214027
"90","Edwards",1922,198500,7.56112158953024,12.1985443791094
"91","NAmes",1394,159000,7.23993259132047,11.9766594812024
"92","NAmes",1431,165000,7.26612877955645,12.0137007528827
"93","NAmes",1268,132000,7.14519613499717,11.7905572015685
"94","NAmes",1287,162000,7.16006920759613,11.9953516142145
"95","NAmes",1319,123000,7.18462915271731,11.7199396343546
"96","Edwards",904,61000,6.80682936039218,11.0186291431554
"97","Edwards",1184,81000,7.07665381544395,11.3022044336546
"98","Edwards",1125,125000,7.02553831463852,11.7360690162844
"99","Edwards",1367,119000,7.22037383672395,11.6868787720937
"100","NAmes",882,106500,6.78219205600679,11.5759002641316
"101","BrkSide",788,100000,6.66949808985788,11.5129254649702
"102","Edwards",1144,129000,7.04228617193974,11.7675676833438
"103","NAmes",1812,169500,7.50218648660292,12.0406082058026
"104","Edwards",1276,60000,7.15148546390474,11.0020998412042
"105","Edwards",1134,126000,7.0335064842877,11.7440371859336
"106","NAmes",1056,142000,6.96224346426621,11.8635823365834
"107","NAmes",1196,139000,7.08673793451058,11.8422292121128
"108","NAmes",907,109008,6.81014245011514,11.5991765530135
"109","BrkSide",904,119000,6.80682936039218,11.6868787720937
"110","Edwards",1196,110000,7.08673793451058,11.6082356447746
"111","Edwards",1440,118000,7.27239839257005,11.6784399034478
"112","BrkSide",1573,162900,7.36073990305828,12.0008917945901
"113","Edwards",1689,127500,7.4318919168078,11.7558716435806
"114","NAmes",1888,190000,7.54327334670545,12.1547793511426
"115","BrkSide",1203,110000,7.09257371597468,11.6082356447746
"116","NAmes",1277,167000,7.15226885603254,12.0257490913989
"117","NAmes",1644,146500,7.40488757561612,11.8947807074393
"118","Edwards",1072,148000,6.97728134163075,11.9049675527463
"119","NAmes",1113,147000,7.01481435127554,11.8981878657609
"120","NAmes",1073,156000,6.9782137426307,11.9576112862317
"121","NAmes",1578,133000,7.36391350140582,11.7981044072039
"122","NAmes",1269,155000,7.14598446771439,11.9511803959014
"123","BrkSide",1820,184000,7.50659178007084,12.1226910365911
"124","NAmes",912,120000,6.81563999007433,11.6952470217642
"125","Edwards",1214,140000,7.10167597161944,11.8493977015914
"126","NAmes",1041,124500,6.94793706861497,11.7320609948869
"127","NAmes",1363,164900,7.21744343169653,12.0130945085477
"128","NAmes",864,129900,6.76157276880406,11.7745202026587
"129","NAmes",1244,150000,7.12608727329912,11.9183905730784
"130","BrkSide",1664,159000,7.41697962138115,11.9766594812024
"131","Edwards",4676,184750,8.45019832259196,12.1267588388104
"132","NAmes",928,132000,6.8330317327862,11.7905572015685
"133","Edwards",605,86000,6.40522845803084,11.3621025752356
"134","BrkSide",1362,128000,7.21670948670946,11.7597855429018
"135","NAmes",827,107500,6.71780469502369,11.5852461265499
"136","BrkSide",334,39300,5.8111409929767,10.5789797978574
"137","Edwards",1347,107500,7.20563517641036,11.5852461265499
"138","NAmes",864,111250,6.76157276880406,11.6195352000285
"139","NAmes",767,133000,6.64248680136726,11.7981044072039
"140","BrkSide",1635,210000,7.39939808333135,12.2548628096996
"141","Edwards",1126,108000,7.02642680869964,11.5898865061064
"142","BrkSide",1048,113000,6.95463886488099,11.6351430976945
"143","NAmes",1092,141000,6.99576615630485,11.8565151693603
"144","Edwards",996,108000,6.9037472575846,11.5898865061064
"145","Edwards",1674,185000,7.42297125104942,12.1281111040605
"146","NAmes",943,135960,6.84906628263346,11.8201160038101
"147","NAmes",1728,142600,7.454719949364,11.8677987869623
"148","NAmes",864,120000,6.76157276880406,11.6952470217642
"149","NAmes",1109,139000,7.01121398735037,11.8422292121128
"150","NAmes",1216,118500,7.10332206252611,11.6826682395573
"151","NAmes",1429,181900,7.26473017792987,12.1112123645062
"152","Edwards",816,118500,6.70441435496411,11.6826682395573
"153","BrkSide",1573,133000,7.36073990305828,11.7981044072039
"154","BrkSide",838,130000,6.73101810048208,11.7752897294377
"155","BrkSide",935,79500,6.84054652928869,11.2835123006424
"156","NAmes",1986,205000,7.59387784460512,12.2307652581205
"157","Edwards",2008,225000,7.60489448081162,12.3238556811866
"158","NAmes",1054,137500,6.96034772910131,11.8313791960888
"159","NAmes",832,105500,6.72383244082121,11.5664662318983
"160","Edwards",864,67000,6.76157276880406,11.1124478983731
"161","NAmes",1116,160000,7.01750614294126,11.982929094216
"162","NAmes",1422,139900,7.25981961036319,11.8486831606536
"163","NAmes",1520,153000,7.32646561384032,11.9381932003746
"164","NAmes",2080,135000,7.64012317269536,11.8130300574206
"165","NAmes",1350,168500,7.20785987143248,12.0346910287746
"166","NAmes",1056,139400,6.96224346426621,11.8451027773086
"167","BrkSide",800,60000,6.68461172766793,11.0020998412042
"168","Edwards",796,85000,6.67959918584438,11.3504065354725
"169","NAmes",2704,345000,7.90248743716286,12.7512996960135
"170","NAmes",981,143250,6.88857245956536,11.872346634577
"171","NAmes",1048,98300,6.95463886488099,11.4957793061353
"172","Edwards",1094,155000,6.99759598298193,11.9511803959014
"173","NAmes",1839,155000,7.51697722460432,11.9511803959014
"174","Edwards",1510,108000,7.31986492980897,11.5898865061064
"175","NAmes",1053,145500,6.95939851213398,11.8879313655937
"176","NAmes",1458,97500,7.2848209125686,11.4876076569859
"177","Edwards",1486,167000,7.3038432252777,12.0257490913989
"178","NAmes",1392,110000,7.23849684089437,11.6082356447746
"179","Edwards",1181,137500,7.07411681619736,11.8313791960888
"180","NAmes",2380,129000,7.77485576666552,11.7675676833438
"181","Edwards",1369,103600,7.22183582528845,11.5482926088075
"182","NAmes",1136,140000,7.0352685992811,11.8493977015914
"183","BrkSide",1539,141500,7.33888813383888,11.8600549960654
"184","BrkSide",616,89000,6.42324696353352,11.3963916487143
"185","Edwards",1148,123500,7.04577657687951,11.7239964350502
"186","BrkSide",729,52000,6.59167373200866,10.8589989975636
"187","BrkSide",960,129000,6.86693328446188,11.7675676833438
"188","NAmes",864,124500,6.76157276880406,11.7320609948869
"189","Edwards",1470,135000,7.29301767977278,11.8130300574206
"190","Edwards",1698,320000,7.43720636687129,12.6760762747759
"191","NAmes",864,120500,6.76157276880406,11.6994050319128
"192","NAmes",1776,110000,7.48211892355212,11.6082356447746
"193","NAmes",1040,93500,6.94697599213542,11.4457167152768
"194","Edwards",1200,179000,7.09007683577609,12.0951410848229
"195","Edwards",1529,98000,7.33236920592906,11.4927227576527
"196","NAmes",1026,156000,6.93342302573071,11.9576112862317
"197","NAmes",864,127500,6.76157276880406,11.7558716435806
"198","BrkSide",1301,100000,7.1708884785125,11.5129254649702
"199","Edwards",1220,102000,7.1066061377273,11.5327280922664
"200","Edwards",1117,107000,7.0184017990692,11.580584113444
"201","NAmes",912,114500,6.81563999007433,11.6483301019764
"202","NAmes",773,110000,6.65027904858742,11.6082356447746
"203","NAmes",1128,118000,7.028201432058,11.6784399034478
"204","NAmes",980,135500,6.88755257166462,11.8167269193019
"205","BrkSide",1576,223500,7.36264527041782,12.3171666930358
"206","NAmes",1086,159950,6.99025650049388,11.9826165453777
"207","NAmes",1442,157900,7.27378631784489,11.9697172002437
"208","Edwards",1250,116000,7.13089883029635,11.6613454700885
"209","NAmes",1008,137000,6.91572344863131,11.8277362048103
"210","BrkSide",784,109500,6.66440902035041,11.6036798282387
"211","NAmes",1392,166000,7.23849684089437,12.0197430673387
"212","NAmes",1516,167000,7.32383056620232,12.0257490913989
"213","NAmes",1144,139950,7.04228617193974,11.8490404949436
"214","Edwards",1200,130500,7.09007683577609,11.7791285057449
"215","NAmes",1165,174900,7.0604763659998,12.0719696610067
"216","NAmes",1800,141000,7.49554194388426,11.8565151693603
"217","NAmes",1445,158000,7.27586460054653,11.9703503120091
"218","NAmes",1148,132500,7.04577657687951,11.7943379244084
"219","NAmes",1002,148500,6.90975328164481,11.9083402372249
"220","NAmes",894,109500,6.79570577517351,11.6036798282387
"221","NAmes",910,116000,6.8134445995109,11.6613454700885
"222","NAmes",1268,133000,7.14519613499717,11.7981044072039
"223","Edwards",1090,157000,6.99393297522319,11.9640010843304
"224","NAmes",892,100000,6.79346613258001,11.5129254649702
"225","NAmes",1712,145000,7.44541755670169,11.8844890214027
"226","Edwards",1393,135500,7.23921497377981,11.8167269193019
"227","NAmes",2217,268000,7.70391020961631,12.498742259493
"228","NAmes",1505,149500,7.31654817718298,11.9150516718129
"229","NAmes",924,122900,6.82871207164168,11.7191262955541
"230","NAmes",1796,140000,7.49331724886215,11.8493977015914
"231","NAmes",858,110000,6.75460409948796,11.6082356447746
"232","NAmes",1306,153000,7.17472430983638,11.9381932003746
"233","NAmes",1063,128000,6.96885037834195,11.7597855429018
"234","NAmes",2274,154300,7.72929567431048,11.9466540383513
"235","BrkSide",1015,88000,6.92264389147589,11.3850920934603
"236","Edwards",1229,135000,7.11395610956603,11.8130300574206
"237","NAmes",1414,176500,7.25417784645652,12.0810761553555
"238","Edwards",2200,145900,7.69621263934641,11.8906767345109
"239","NAmes",925,117500,6.82979373751242,11.6741936125664
"240","NAmes",2069,242000,7.63482067774554,12.3966930051388
"241","BrkSide",747,79900,6.61606518513282,11.2885311317544
"242","Edwards",1440,150000,7.27239839257005,11.9183905730784
"243","NAmes",1144,143000,7.04228617193974,11.870599909242
"244","NAmes",864,129000,6.76157276880406,11.7675676833438
"245","Edwards",980,127500,6.88755257166462,11.7558716435806
"246","BrkSide",858,116500,6.75460409948796,11.6656465519879
"247","NAmes",1098,135000,7.00124562206948,11.8130300574206
"248","NAmes",1095,140000,6.9985096422506,11.8493977015914
"249","NAmes",1192,135000,7.0833878476253,11.8130300574206
"250","BrkSide",2019,167500,7.61035761831284,12.0287386302473
"251","BrkSide",869,85500,6.76734312526539,11.3562716549249
"252","Edwards",894,110000,6.79570577517351,11.6082356447746
"253","NAmes",999,178400,6.90675477864855,12.091783499128
"254","Edwards",1164,125000,7.05961762829138,11.7360690162844
"255","NAmes",1851,187000,7.5234813125735,12.1388638958367
"256","BrkSide",1230,121600,7.11476944836646,11.7084922485142
"257","NAmes",1050,136500,6.95654544315157,11.8240798936072
"258","Edwards",944,82000,6.8501261661455,11.3144745262464
"259","NAmes",1657,163500,7.41276401742656,12.0045682693194
"260","Edwards",1664,100000,7.41697962138115,11.5129254649702
"261","NAmes",1082,119200,6.98656645940643,11.6885580336134
"262","Edwards",1132,176000,7.03174125876313,12.0782392740203
"263","NAmes",1264,167500,7.1420365747068,12.0287386302473
"264","NAmes",1376,105000,7.22693601849329,11.5617156291397
"265","Edwards",845,84000,6.73933662735717,11.3385720778255
"266","Edwards",1733,139600,7.45760928971561,11.8465364693104
"267","Edwards",930,84900,6.8351845861473,11.3492293722994
"268","NAmes",1977,165000,7.58933582317062,12.0137007528827
"269","Edwards",1526,144500,7.3304052118444,11.8810347865346
"270","NAmes",1154,154000,7.05098944706805,11.9447078813958
"271","NAmes",1611,167900,7.38461038317697,12.0311238430656
"272","NAmes",893,135000,6.7945865808765,11.8130300574206
"273","NAmes",1048,135000,6.95463886488099,11.8130300574206
"274","Edwards",1456,91500,7.28344822875663,11.4240942512636
"275","Edwards",1426,159500,7.26262860097424,11.979799201207
"276","NAmes",1096,138800,6.99942246750796,11.8407893270548
"277","NAmes",1251,160000,7.13169851046691,11.982929094216
"278","Edwards",1709,137500,7.44366368311559,11.8313791960888
"279","NAmes",1040,92900,6.94697599213542,11.4392789248019
"280","NAmes",1200,146000,7.09007683577609,11.8913619006905
"281","NAmes",936,129000,6.84161547647759,11.7675676833438
"282","BrkSide",1324,128000,7.18841273649695,11.7597855429018
"283","NAmes",950,119500,6.85646198459459,11.6910716503537
"284","NAmes",1134,135000,7.0335064842877,11.8130300574206
"285","NAmes",1194,159500,7.08506429395255,11.979799201207
"286","NAmes",816,129900,6.70441435496411,11.7745202026587
"287","NAmes",1008,134500,6.91572344863131,11.809319478024
"288","NAmes",1040,133700,6.94697599213542,11.80335376309
"289","Edwards",960,112000,6.86693328446188,11.6262541502772
"290","Edwards",698,118000,6.54821910276237,11.6784399034478
"291","NAmes",1005,115000,6.91274282049318,11.6526874073454
"292","BrkSide",986,102000,6.89365635460264,11.5327280922664
"293","NAmes",1252,119000,7.13249755166004,11.6868787720937
"294","BrkSide",1167,144000,7.06219163228656,11.8775685785581
"295","NAmes",952,139000,6.85856503479136,11.8422292121128
"296","Edwards",924,80000,6.82871207164168,11.289781913656
"297","BrkSide",1576,149000,7.36264527041782,11.9117015849276
"298","NAmes",932,124000,6.83733281468559,11.7280368445872
"299","Edwards",1466,149900,7.2902928824466,11.9177236840907
"300","NAmes",1820,201800,7.50659178007084,12.2150323869016
"301","NAmes",1265,179900,7.14282740116162,12.1001564199386
"302","Edwards",2108,235000,7.65349490966125,12.3673407931263
"303","NAmes",1261,163000,7.13966033596492,12.0015054797889
"304","Edwards",1124,93000,7.02464903045364,11.4403547721354
"305","Edwards",1221,104900,7.1074254741107,11.5607627943844
"306","NAmes",864,116050,6.76157276880406,11.6617764117026
"307","BrkSide",1348,117000,7.20637729147225,11.6699292137799
"308","NAmes",1283,140000,7.15695636461564,11.8493977015914
"309","Edwards",672,113000,6.51025834052315,11.6351430976945
"310","NAmes",999,134500,6.90675477864855,11.809319478024
"311","BrkSide",912,80500,6.81563999007433,11.2960124634067
"312","NAmes",912,115000,6.81563999007433,11.6526874073454
"313","NAmes",1846,143000,7.5207764150628,11.870599909242
"314","NAmes",2136,137900,7.66669020008009,11.8342840637814
"315","NAmes",1138,145000,7.03702761468628,11.8844890214027
"316","NAmes",912,147000,6.81563999007433,11.8981878657609
"317","NAmes",1507,127000,7.3178761986265,11.7519423654407
"318","NAmes",1190,132500,7.08170858610557,11.7943379244084
"319","NAmes",1224,101800,7.10987946307227,11.5307653830986
"320","NAmes",1188,142000,7.08002649992259,11.8635823365834
"321","NAmes",988,119000,6.89568269774787,11.6868787720937
"322","NAmes",2110,244000,7.65444322647011,12.4049235042753
"323","Edwards",1656,165400,7.4121603349452,12.0161220615717
"324","BrkSide",1367,127500,7.22037383672395,11.7558716435806
"325","Edwards",864,99900,6.76157276880406,11.5119249646366
"326","NAmes",1054,151000,6.96034772910131,11.9250351157971
"327","NAmes",1050,128900,6.95654544315157,11.7667921889273
"328","BrkSide",1824,180500,7.50878717063428,12.1034860567551
"329","NAmes",1337,181000,7.19818357710194,12.106252310248
"330","NAmes",1524,144000,7.32909373624659,11.8775685785581
"331","Edwards",1357,177000,7.21303165983487,12.083905011556
"332","NAmes",1920,137000,7.56008046502183,11.8277362048103
"333","BrkSide",1412,132500,7.25276241805319,11.7943379244084
"334","NAmes",1152,180500,7.04925484125584,12.1034860567551
"335","Edwards",864,115000,6.76157276880406,11.6526874073454
"336","NAmes",1052,138500,6.95844839329766,11.8386256046095
"337","NAmes",1128,155000,7.028201432058,11.9511803959014
"338","Edwards",1072,140000,6.97728134163075,11.8493977015914
"339","Edwards",5642,160000,8.63799389156194,11.982929094216
"340","NAmes",1246,154000,7.1276936993474,11.9447078813958
"341","Edwards",1708,130000,7.44307837434852,11.7752897294377
"342","Edwards",948,119000,6.85435450225502,11.6868787720937
"343","NAmes",2112,206900,7.65539064482615,12.2399908637336
"344","Edwards",948,111000,6.85435450225502,11.6172854802945
"345","NAmes",1478,156500,7.29844510150815,11.9608112889623
"346","BrkSide",720,72500,6.5792512120101,11.1913418408428
"347","BrkSide",708,82500,6.56244409369372,11.3205535723228
"348","Edwards",774,79000,6.65157187358973,11.2772031314492
"349","Edwards",816,100000,6.70441435496411,11.5129254649702
"350","NAmes",872,123000,6.77078942390898,11.7199396343546
"351","NAmes",2634,200000,7.87625888230323,12.2060726455302
"352","NAmes",1716,171000,7.44775128004791,12.0494188354848
"353","BrkSide",1176,134900,7.06987412845857,11.8122890421958
"354","NAmes",892,110000,6.79346613258001,11.6082356447746
"355","NAmes",1078,149900,6.98286275146894,11.9177236840907
"356","NAmes",1738,104900,7.46049030582534,11.5607627943844
"357","NAmes",1661,165500,7.41517510961329,12.0167264737993
"358","Edwards",1604,117000,7.38025578842646,11.6699292137799
"359","Edwards",864,58500,6.76157276880406,10.9767820332199
"360","NAmes",2117,237500,7.65775527113487,12.3779229024568
"361","Edwards",1258,105000,7.13727843726039,11.5617156291397
"362","BrkSide",1218,131000,7.10496544826984,11.7829526021833
"363","NAmes",1584,124000,7.36770857237437,11.7280368445872
"364","NAmes",900,123000,6.80239476332431,11.7199396343546
"365","BrkSide",1513,137500,7.32184971378836,11.8313791960888
"366","NAmes",1904,138000,7.55171221535131,11.8350089641393
"367","BrkSide",1158,120000,7.05444965813294,11.6952470217642
"368","NAmes",1668,140000,7.41938058291869,11.8493977015914
"369","NAmes",1040,90000,6.94697599213542,11.4075649493124
"370","BrkSide",1848,207000,7.52185925220163,12.2404740722475
"371","NAmes",1144,124000,7.04228617193974,11.7280368445872
"372","Edwards",2201,274970,7.69666708152646,12.5244172797888
"373","NAmes",1344,144000,7.20340552108309,11.8775685785581
"374","NAmes",1252,142000,7.13249755166004,11.8635823365834
"375","NAmes",1558,140000,7.35115822643069,11.8493977015914
"376","NAmes",1537,174000,7.3375877435386,12.0668105781967
"377","NAmes",864,120500,6.76157276880406,11.6994050319128
"378","BrkSide",952,121000,6.85856503479136,11.7035458245789
"379","Edwards",1346,112000,7.20489251020467,11.6262541502772
"380","NAmes",1792,136000,7.49108759353488,11.8204101647182
"381","Edwards",1072,145000,6.97728134163075,11.8844890214027
"382","NAmes",1078,142125,6.98286275146894,11.8644622310528
"383","Edwards",1256,147500,7.13568734702814,11.901583454762
